Employee_ID,Age,Gender,Job_Role,Monthly_Income,Job_Satisfaction,Work_Life_Balance,Distance_From_Home_KM,Num_Projects,Avg_Monthly_Hours,Years_at_Company,Years_Since_Last_Promotion,Training_Times_Last_Year,Education_Level,Attrition_Risk_Level
EMP-00092,44,Female,Analyst,8904,3,1,4.4,5,163.1,2,0,5,5,0
EMP-00093,20,Female,HR Specialist,8329,3,3,31.5,5,161.7,0,0,1,2,0
EMP-00094,36,Female,Software Engineer,10492,4,2,4.0,2,171.6,4,1,5,3,0
EMP-00095,34,Female,Data Scientist,10110,4,4,11.2,8,127.3,13,12,1,1,1
EMP-00096,37,Male,Analyst,6366,3,1,14.5,7,174.3,11,11,6,4,2
EMP-00097,39,Male,Data Scientist,7384,3,4,1.3,4,171.8,10,4,2,3,0
EMP-00098,43,Female,Manager,7996,3,4,3.8,5,161.9,14,14,6,3,2
EMP-00099,35,Female,Data Scientist,8320,1,4,19.2,6,163.8,10,5,2,2,1
EMP-00100,20,Female,Software Engineer,4999,2,3,40.0,8,194.6,0,0,4,2,1
EMP-00101,47,Male,Analyst,10230,3,3,12.4,3,155.8,18,17,2,3,2
EMP-00102,29,Male,Software Engineer,7211,4,3,21.6,5,134.9,0,0,2,2,0
EMP-00103,42,Male,HR Specialist,8744,4,1,9.8,3,166.5,5,1,4,3,0
EMP-00104,32,Male,Software Engineer,7690,2,4,20.6,8,182.8,11,9,4,2,2
EMP-00105,40,Male,Manager,5971,2,2,6.5,7,178.4,9,8,3,3,2
EMP-00106,34,Male,Software Engineer,6917,3,3,8.8,4,166.7,6,1,5,2,0
EMP-00107,31,Male,HR Specialist,8868,3,2,21.9,5,192.8,1,0,5,3,0
EMP-00108,41,Female,Sales Executive,8730,4,3,10.9,7,155.8,18,6,4,4,1
EMP-00109,20,Female,Analyst,5954,2,2,17.8,7,166.7,0,0,3,3,1
EMP-00110,31,Male,Data Scientist,7616,4,2,6.9,8,170.2,7,6,6,5,1
EMP-00111,34,Female,Software Engineer,6340,2,4,3.5,5,120.0,12,1,0,2,0
EMP-00112,37,Male,Data Scientist,6857,4,2,18.9,5,131.4,8,7,2,1,1
EMP-00113,29,Male,Data Scientist,6259,1,4,9.6,4,200.3,3,0,6,3,1
EMP-00114,20,Male,Data Scientist,5437,2,1,3.8,4,198.2,0,0,3,4,1
EMP-00115,37,Male,Analyst,7115,2,2,29.5,7,201.2,17,6,2,4,2
EMP-00116,25,Female,Analyst,5199,4,4,6.1,8,250.0,2,0,5,3,0
EMP-00117,39,Female,Software Engineer,9843,2,1,7.4,4,138.5,15,15,2,4,2
EMP-00118,37,Female,Manager,11492,4,2,7.1,4,223.3,7,4,0,1,1
EMP-00119,34,Male,Sales Executive,6349,1,3,3.0,7,198.0,1,0,5,3,1
EMP-00120,46,Male,Data Scientist,11004,4,4,8.3,7,120.0,10,8,3,1,0
EMP-00121,44,Female,Software Engineer,7959,4,4,6.0,8,171.1,22,16,1,3,2
EMP-00122,26,Female,Sales Executive,7598,4,2,9.0,2,151.7,0,0,1,3,0
EMP-00123,20,Female,Manager,7269,4,3,9.3,4,157.5,0,0,2,2,0
EMP-00124,45,Male,Analyst,11589,3,3,8.3,2,196.0,13,8,6,2,1
EMP-00125,52,Female,Data Scientist,9306,4,3,21.2,7,173.3,7,5,5,3,0
EMP-00126,28,Female,Data Scientist,4729,4,3,27.4,4,179.8,5,4,1,1,1
EMP-00127,36,Female,HR Specialist,8624,3,4,7.0,3,179.0,1,1,6,2,0
EMP-00128,26,Male,Software Engineer,8921,1,3,27.6,5,161.0,1,0,3,4,1
EMP-00129,29,Female,Sales Executive,5846,4,3,14.5,7,178.3,5,0,2,2,0
EMP-00130,58,Female,HR Specialist,12422,4,2,11.6,6,120.7,34,33,1,3,2
EMP-00131,38,Male,Data Scientist,8951,2,2,2.1,3,205.4,5,2,2,5,1
EMP-00132,35,Female,Sales Executive,5769,3,3,1.1,4,164.8,1,0,6,3,0
EMP-00133,35,Female,Analyst,10935,1,3,7.7,2,204.6,3,1,1,2,1
EMP-00134,24,Female,Software Engineer,4630,3,3,1.8,7,157.1,2,2,5,2,0
EMP-00135,37,Male,Software Engineer,9925,1,3,20.3,2,127.2,13,1,1,3,0
EMP-00136,49,Female,Sales Executive,11339,1,3,26.3,5,157.4,15,3,4,3,1
EMP-00137,46,Male,HR Specialist,9842,4,3,4.1,4,178.4,13,7,4,5,1
EMP-00138,30,Female,Data Scientist,6479,3,2,3.8,2,154.1,7,2,3,3,0
EMP-00139,27,Female,Software Engineer,7413,3,1,6.1,7,165.5,3,1,1,2,1
EMP-00140,40,Male,Data Scientist,7420,4,2,39.7,6,207.5,7,1,1,4,1
EMP-00141,35,Female,Sales Executive,9948,1,3,8.7,4,120.0,5,5,4,4,1
EMP-00142,33,Female,Analyst,7051,1,2,7.6,4,188.3,12,6,4,2,2
EMP-00143,28,Female,Manager,7399,2,3,23.5,6,146.5,0,0,0,3,0
EMP-00144,41,Female,Analyst,8407,2,3,23.9,2,201.9,19,6,0,3,2
EMP-00145,35,Female,Data Scientist,6065,3,4,12.0,2,220.1,6,0,4,4,0
EMP-00146,34,Male,Software Engineer,8633,3,2,4.1,3,132.4,14,5,6,2,1
EMP-00147,35,Male,Data Scientist,7475,3,3,13.6,7,198.9,9,0,5,3,0
EMP-00148,38,Male,Data Scientist,10175,3,3,3.8,2,145.9,17,10,0,5,1
EMP-00149,26,Female,Sales Executive,6533,4,1,7.1,5,162.6,0,0,3,3,0
EMP-00150,26,Male,Manager,5166,1,3,3.2,6,195.7,1,0,4,4,1
EMP-00151,20,Male,HR Specialist,6449,3,4,15.8,4,144.1,0,0,4,1,0
EMP-00152,37,Male,Data Scientist,6480,4,2,6.6,6,168.8,0,0,5,1,0
EMP-00153,50,Female,HR Specialist,11937,2,3,3.7,5,147.8,9,1,1,1,0
EMP-00154,43,Male,Analyst,11503,3,3,3.5,2,165.2,18,16,5,4,2
EMP-00155,34,Female,Data Scientist,7337,2,2,3.0,4,137.2,6,4,5,1,1
EMP-00156,25,Female,Software Engineer,4330,1,4,4.1,7,165.5,4,1,2,4,1
EMP-00157,31,Female,Manager,6030,2,4,5.5,5,175.1,9,5,6,3,1
EMP-00158,29,Male,Manager,7629,4,3,4.7,4,143.3,7,5,6,5,0
EMP-00159,37,Male,Data Scientist,7709,2,3,12.8,7,163.7,8,2,0,3,1
EMP-00160,32,Female,HR Specialist,7173,2,3,10.0,8,166.9,12,0,2,2,0
EMP-00161,38,Female,Data Scientist,11157,3,3,2.9,8,175.7,4,1,4,3,0
EMP-00162,31,Female,Analyst,6612,3,2,11.9,4,167.1,2,2,6,4,1
EMP-00163,23,Female,HR Specialist,6648,4,3,3.7,6,171.7,1,0,3,3,0
EMP-00164,48,Female,HR Specialist,9063,4,2,13.4,5,144.5,14,10,1,2,1
EMP-00165,23,Male,Software Engineer,7996,2,1,25.8,8,179.5,0,0,6,4,1
EMP-00166,24,Female,Software Engineer,8501,2,3,26.7,3,211.1,0,0,4,2,1
EMP-00167,28,Female,Manager,4767,2,3,4.3,7,181.8,4,4,0,2,1
EMP-00168,30,Male,Data Scientist,9519,1,3,16.0,4,161.3,1,0,0,3,1
EMP-00169,41,Female,HR Specialist,8379,2,1,7.3,2,221.1,8,2,4,3,1
EMP-00170,37,Male,HR Specialist,6866,4,3,3.0,3,173.0,4,1,5,4,0
EMP-00171,31,Female,HR Specialist,7448,2,2,8.0,7,196.0,9,7,2,4,2
EMP-00172,38,Male,Manager,7138,3,4,7.3,5,170.7,5,1,4,3,0
EMP-00173,52,Female,Software Engineer,9314,3,4,17.1,4,157.7,17,1,6,3,0
EMP-00174,37,Male,Manager,8679,4,4,10.4,7,169.9,10,8,3,3,1
EMP-00175,36,Female,Data Scientist,9046,4,3,6.4,6,121.3,10,0,0,1,0
EMP-00176,40,Female,Software Engineer,7902,2,3,8.1,7,169.1,16,13,0,1,2
EMP-00177,27,Female,Analyst,7728,3,1,7.8,7,192.7,5,1,4,4,1
EMP-00178,57,Male,Software Engineer,9797,3,3,12.7,3,120.0,8,8,2,3,1
EMP-00179,47,Female,Manager,9679,3,2,4.3,6,172.4,7,4,1,4,1
EMP-00180,30,Female,Software Engineer,8718,4,2,4.5,8,156.9,0,0,5,3,0
EMP-00181,39,Male,Sales Executive,9848,3,4,3.1,4,120.0,7,5,3,1,0
EMP-00182,20,Female,Sales Executive,4686,3,2,4.5,4,179.0,0,0,6,1,0
EMP-00183,37,Female,Sales Executive,7276,3,4,9.8,5,176.7,10,10,2,1,2
EMP-00184,35,Male,Sales Executive,10249,2,3,3.5,3,135.4,8,7,5,2,1
EMP-00185,38,Male,HR Specialist,7676,1,2,5.1,5,181.3,7,2,4,5,1
EMP-00186,29,Male,HR Specialist,5165,1,2,13.8,7,210.9,6,1,4,4,2
EMP-00187,43,Male,Sales Executive,8709,4,3,3.3,6,145.2,3,2,0,3,0
EMP-00188,27,Female,Software Engineer,4238,3,2,25.8,5,170.8,1,1,4,4,1
EMP-00189,44,Male,Data Scientist,11020,3,4,12.7,6,175.8,17,1,4,1,0
EMP-00190,31,Female,Data Scientist,9299,3,2,2.1,6,137.7,8,7,6,3,1
EMP-00191,20,Female,HR Specialist,8366,3,1,9.6,3,207.0,0,0,0,2,1
EMP-00192,30,Female,Sales Executive,7766,3,2,2.5,5,143.6,8,4,1,2,1
EMP-00193,49,Female,Software Engineer,9290,3,3,4.7,7,175.2,2,1,5,2,0
EMP-00194,21,Male,Data Scientist,4397,3,3,21.3,7,140.3,0,0,2,3,0
EMP-00195,26,Male,Software Engineer,8541,3,3,8.1,8,132.5,6,2,3,5,0
EMP-00196,37,Female,Manager,7883,2,3,7.9,5,156.9,6,6,0,5,1
EMP-00197,26,Female,HR Specialist,8637,3,4,10.5,8,151.9,3,0,5,3,0
EMP-00198,31,Male,HR Specialist,8197,2,3,1.8,7,172.7,8,7,1,3,1
EMP-00199,28,Male,Sales Executive,8804,2,1,22.8,5,210.0,4,2,0,3,2
EMP-00200,40,Male,Analyst,10057,4,2,12.5,7,120.0,3,3,4,3,0
EMP-00201,32,Female,HR Specialist,7145,1,2,2.6,7,195.7,5,2,1,3,1
EMP-00202,44,Female,HR Specialist,9976,4,4,9.2,7,200.0,7,1,2,4,0
EMP-00203,21,Female,Manager,4967,1,3,11.1,8,138.7,0,0,2,1,1
EMP-00204,46,Female,Manager,10630,2,3,28.3,2,174.7,17,0,1,3,0
EMP-00205,41,Male,Data Scientist,10691,3,1,4.0,7,195.2,9,2,0,4,1
EMP-00206,36,Female,Manager,6776,4,3,12.9,2,191.7,10,4,5,3,1
EMP-00207,38,Male,Analyst,8085,3,4,12.2,6,161.0,3,0,1,3,0
EMP-00208,30,Male,Software Engineer,4909,1,3,10.8,2,156.8,7,6,3,3,2
EMP-00209,27,Male,HR Specialist,9305,3,4,12.2,2,150.4,0,0,5,3,0
EMP-00210,48,Male,Data Scientist,10087,4,4,17.0,6,166.5,2,0,5,1,0
EMP-00211,33,Male,Analyst,7253,3,1,6.7,4,153.8,12,3,6,5,1
EMP-00212,25,Male,Manager,8962,4,4,7.8,5,169.6,5,0,1,4,0
EMP-00213,38,Male,Data Scientist,7413,4,3,8.0,5,185.8,13,3,5,3,0
EMP-00214,36,Male,HR Specialist,10573,3,3,12.9,3,195.2,7,1,2,3,0
EMP-00215,41,Female,Data Scientist,9401,4,3,11.4,3,182.7,19,16,6,3,2
EMP-00216,31,Male,Manager,7748,3,1,10.3,8,139.6,0,0,4,3,0
EMP-00217,27,Female,Data Scientist,4111,1,2,4.9,6,151.0,6,4,4,3,2
EMP-00218,25,Female,Sales Executive,8751,4,2,5.8,3,158.9,1,0,2,5,0
EMP-00219,26,Male,HR Specialist,7863,2,3,7.8,7,161.0,4,4,3,1,1
EMP-00220,40,Female,Data Scientist,8900,3,2,10.2,7,196.3,12,5,6,4,1
EMP-00221,38,Male,HR Specialist,7324,4,4,6.7,4,153.6,17,13,0,2,2
EMP-00222,41,Female,Software Engineer,11732,2,2,17.7,5,161.2,16,4,0,3,1
EMP-00223,38,Male,HR Specialist,7991,3,1,6.4,7,157.7,17,17,5,4,2
EMP-00224,30,Male,Analyst,6299,2,3,2.6,6,161.3,10,3,3,1,1
EMP-00225,53,Male,HR Specialist,10518,4,1,10.7,6,192.8,30,4,6,4,1
EMP-00226,33,Male,HR Specialist,9003,3,2,3.9,8,142.2,7,5,6,3,1
EMP-00227,20,Male,Analyst,8384,3,1,3.0,5,122.8,0,0,2,3,0
EMP-00228,41,Male,Analyst,6951,1,4,2.7,6,202.8,3,0,3,3,0
EMP-00229,31,Female,Sales Executive,5285,3,4,4.8,3,202.7,4,1,4,1,0
EMP-00230,32,Male,HR Specialist,8628,3,4,8.4,3,205.6,12,9,5,3,2
EMP-00231,33,Female,Analyst,9473,1,4,7.4,8,192.4,3,2,2,3,1
EMP-00232,37,Male,HR Specialist,7116,4,1,14.2,2,163.2,13,6,1,4,1
EMP-00233,25,Female,HR Specialist,4941,4,3,3.1,4,204.3,2,2,1,4,0
EMP-00234,31,Male,Analyst,6748,2,4,8.9,7,140.1,3,0,0,3,0
EMP-00235,34,Female,Manager,8107,3,2,8.2,2,127.3,2,0,3,4,0
EMP-00236,45,Female,HR Specialist,12261,2,2,4.9,5,220.0,17,7,5,3,2
EMP-00237,28,Male,HR Specialist,6017,3,2,6.0,8,196.4,8,5,6,4,1
EMP-00238,30,Male,Analyst,5562,2,4,7.7,8,186.8,1,1,1,2,0
EMP-00239,44,Male,Analyst,11315,1,2,5.5,7,186.1,23,2,5,3,1
EMP-00240,39,Male,Analyst,8004,3,1,12.0,7,153.1,10,0,2,3,0
EMP-00241,36,Male,HR Specialist,8001,3,4,6.3,5,188.8,4,2,1,3,0
EMP-00242,29,Male,Sales Executive,8618,4,2,5.6,6,174.0,3,2,4,2,0
EMP-00243,43,Male,HR Specialist,8410,3,2,7.8,6,214.8,10,3,5,1,1
EMP-00244,34,Male,Data Scientist,7879,4,3,31.2,3,159.5,9,4,1,3,0
EMP-00245,35,Female,HR Specialist,10507,3,4,12.0,5,137.8,13,1,2,2,0
EMP-00246,35,Female,Manager,6814,4,3,17.3,8,170.3,5,1,2,3,0
EMP-00247,35,Female,Data Scientist,8309,3,4,7.7,3,202.7,10,7,6,4,1
EMP-00248,41,Female,Manager,9938,2,2,4.8,2,170.3,20,0,3,4,0
EMP-00249,32,Male,Sales Executive,10531,4,3,13.1,3,149.6,8,4,4,1,0
EMP-00250,20,Male,Data Scientist,8054,3,2,1.0,4,181.5,0,0,5,3,0
EMP-00251,32,Female,HR Specialist,8803,4,3,6.9,8,120.0,1,1,0,3,0
EMP-00252,34,Male,Sales Executive,6089,3,3,2.5,8,134.8,3,0,2,3,0
EMP-00253,35,Male,HR Specialist,9108,3,3,2.3,5,199.7,9,8,4,3,1
EMP-00254,29,Male,Manager,7993,4,2,7.2,7,138.8,4,1,4,3,0
EMP-00255,24,Female,Manager,7247,2,3,11.2,3,203.2,2,0,0,3,1
EMP-00256,39,Female,Data Scientist,7925,2,2,27.9,2,171.4,10,2,2,5,1
EMP-00257,40,Female,Analyst,11075,4,3,10.0,6,120.0,10,0,6,2,0
EMP-00258,21,Male,Analyst,6266,4,1,8.9,7,191.0,0,0,2,2,0
EMP-00259,32,Male,Data Scientist,8611,1,4,8.2,3,150.4,10,8,6,3,2
EMP-00260,28,Male,Software Engineer,5176,3,2,13.2,8,210.4,6,3,6,4,1
EMP-00261,37,Female,HR Specialist,8635,4,1,4.1,5,145.9,8,8,5,3,1
EMP-00262,31,Male,Manager,5765,3,4,19.2,6,159.5,3,2,4,4,0
EMP-00263,22,Male,Software Engineer,4237,2,3,6.8,7,128.1,1,1,2,3,0
EMP-00264,44,Male,Sales Executive,8219,4,3,14.6,6,161.2,24,0,2,2,0
EMP-00265,38,Female,Software Engineer,9398,3,3,3.2,8,165.5,1,0,2,4,0
EMP-00266,31,Male,Software Engineer,7626,4,2,6.8,4,154.1,9,5,6,2,1
EMP-00267,26,Male,Data Scientist,5413,2,2,14.2,6,179.7,3,1,1,1,1
EMP-00268,25,Male,Data Scientist,9682,3,2,3.9,2,156.3,3,2,3,3,0
EMP-00269,32,Male,Data Scientist,6743,4,3,6.2,8,239.6,2,0,0,4,0
EMP-00270,20,Male,Sales Executive,6717,3,2,5.7,5,160.6,0,0,4,4,0
EMP-00271,48,Female,Data Scientist,10239,1,3,16.1,6,173.5,13,6,0,4,2
EMP-00272,29,Female,Sales Executive,9147,2,3,15.6,8,129.1,5,4,1,1,1
EMP-00273,34,Female,Software Engineer,8430,3,2,1.2,6,128.9,7,1,1,3,0
EMP-00274,31,Female,Manager,10245,4,4,15.3,7,163.7,3,2,4,2,0
EMP-00275,36,Female,Data Scientist,7565,1,2,13.8,2,153.0,12,5,6,1,2
EMP-00276,42,Female,Manager,11209,4,4,23.4,2,129.5,12,11,5,3,1
EMP-00277,20,Male,HR Specialist,3098,4,4,19.3,5,169.6,0,0,0,3,0
EMP-00278,40,Male,Software Engineer,8294,3,2,3.0,6,144.5,15,15,5,2,2
EMP-00279,33,Male,Manager,5922,3,3,4.9,2,132.6,8,8,6,5,1
EMP-00280,43,Female,Manager,10232,1,2,1.7,8,132.2,16,13,5,2,2
EMP-00281,38,Female,Analyst,10513,3,3,1.8,2,159.7,11,8,1,2,1
EMP-00282,22,Male,HR Specialist,4745,3,4,8.6,7,189.1,0,0,0,1,0
EMP-00283,25,Male,Data Scientist,7692,2,3,8.5,8,143.1,3,2,6,2,0
EMP-00284,44,Male,Manager,10947,4,4,8.1,7,164.0,23,6,1,5,0
EMP-00285,41,Male,Software Engineer,10965,2,1,2.4,2,161.6,18,11,1,3,2
EMP-00286,32,Female,Analyst,7636,3,2,19.4,2,164.4,4,0,1,3,0
EMP-00287,40,Male,Sales Executive,8225,3,3,5.6,8,197.6,12,1,1,3,0
EMP-00288,30,Female,Software Engineer,5888,4,2,8.2,4,154.3,3,0,6,3,0
EMP-00289,42,Female,HR Specialist,8815,3,3,23.9,2,137.6,15,15,5,1,2
EMP-00290,32,Male,Manager,7777,3,3,19.7,5,201.3,1,1,3,5,0
EMP-00291,28,Male,Data Scientist,8692,3,2,19.8,2,192.6,4,0,3,1,0
EMP-00292,36,Male,Sales Executive,10916,3,4,3.8,6,156.4,9,2,3,3,0
EMP-00293,33,Male,Manager,5946,4,3,25.8,3,129.1,0,0,5,3,0
EMP-00294,38,Male,Analyst,8355,3,4,7.2,4,209.6,15,10,3,1,2
EMP-00295,31,Female,Analyst,6107,4,2,6.6,7,122.4,0,0,3,3,0
EMP-00296,34,Female,Analyst,7784,1,2,3.1,8,203.5,6,4,1,3,2
EMP-00297,55,Male,Analyst,11754,2,2,11.8,4,176.5,25,18,5,3,2
EMP-00298,42,Female,Data Scientist,11665,2,3,7.6,4,212.0,5,2,0,3,1
EMP-00299,32,Female,Data Scientist,8188,3,2,6.4,2,193.5,1,0,6,3,0
EMP-00300,36,Male,Analyst,10563,4,4,15.3,5,189.5,1,0,1,2,0
EMP-00301,25,Female,Software Engineer,9292,2,3,7.1,3,137.4,0,0,2,2,0
EMP-00302,46,Male,Data Scientist,10700,3,4,3.5,6,120.0,14,2,0,3,0
EMP-00303,33,Female,HR Specialist,8860,3,2,12.4,3,157.4,10,10,5,5,2
